reactions,metabolites,metabolitestotal,gpr,genes
GLYCLTtex_reverse_num1,glyclt_p,glyclt,ECDH1ME8569_0229,ECDH1ME8569_0229
GLNtex_reverse_num1,gln__L_p,gln__L,ECDH1ME8569_0229,ECDH1ME8569_0229
GLTPD_reverse,tag6p__D_c,tag6p__D,ECDH1ME8569_2025,ECDH1ME8569_2025
GLYCtex_reverse_num1,glyc_p,glyc,ECDH1ME8569_0229,ECDH1ME8569_0229
GLYCtpp_reverse_num1,glyc_p,glyc,ECDH1ME8569_3796,ECDH1ME8569_3796
GLUABUTt7pp_reverse,4abut_p,4abut,ECDH1ME8569_1435,ECDH1ME8569_1435
GLUABUTt7pp_reverse,glu__L_c,glu__L,ECDH1ME8569_1435,ECDH1ME8569_1435
GLUDy_reverse,akg_c,akg,ECDH1ME8569_1705,ECDH1ME8569_1705
GLUR_reverse,glu__L_c,glu__L,ECDH1ME8569_3835,ECDH1ME8569_3835
GLYtex_reverse_num1,gly_p,gly,ECDH1ME8569_0229,ECDH1ME8569_0229
HACD1_reverse_num1,3hbcoa_c,3hbcoa,ECDH1ME8569_3723,ECDH1ME8569_3723
HACD2_reverse_num1,3hhcoa_c,3hhcoa,ECDH1ME8569_3723,ECDH1ME8569_3723
HACD3_reverse_num1,3hocoa_c,3hocoa,ECDH1ME8569_3723,ECDH1ME8569_3723
HACD4_reverse_num1,3hdcoa_c,3hdcoa,ECDH1ME8569_3723,ECDH1ME8569_3723
GSNtex_reverse_num1,gsn_p,gsn,ECDH1ME8569_0229,ECDH1ME8569_0229
GTHOXtex_reverse_num1,gthox_p,gthox,ECDH1ME8569_0229,ECDH1ME8569_0229
HACD5_reverse_num1,3hddcoa_c,3hddcoa,ECDH1ME8569_3723,ECDH1ME8569_3723
HACD6_reverse_num1,3htdcoa_c,3htdcoa,ECDH1ME8569_3723,ECDH1ME8569_3723
HACD7_reverse_num1,3hhdcoa_c,3hhdcoa,ECDH1ME8569_3723,ECDH1ME8569_3723
HACD8_reverse_num1,3hodcoa_c,3hodcoa,ECDH1ME8569_3723,ECDH1ME8569_3723
HADPCOADH3_reverse,oxadpcoa_c,oxadpcoa,ECDH1ME8569_1339,ECDH1ME8569_1339
HCINNMt2rpp_reverse,3hcinnm_c,3hcinnm,ECDH1ME8569_0340,ECDH1ME8569_0340
HCINNMtex_reverse_num1,3hcinnm_p,3hcinnm,ECDH1ME8569_0229,ECDH1ME8569_0229
HCO3E_reverse_num1,hco3_c,hco3,ECDH1ME8569_0120,ECDH1ME8569_0120
GTHOr_reverse,gthrd_c,gthrd,ECDH1ME8569_3377,ECDH1ME8569_3377
GTHRDtex_reverse_num1,gthrd_p,gthrd,ECDH1ME8569_0229,ECDH1ME8569_0229
HEXt2rpp_reverse,hxa_c,hxa,ECDH1ME8569_2158,ECDH1ME8569_2158
GUAtex_reverse,gua_p,gua,ECDH1ME8569_0396,ECDH1ME8569_0396
GUI1_reverse,fruur_c,fruur,ECDH1ME8569_2987,ECDH1ME8569_2987
GUI2_reverse,tagur_c,tagur,ECDH1ME8569_2987,ECDH1ME8569_2987
HISt2rpp_reverse,his__L_c,his__L,ECDH1ME8569_0106,ECDH1ME8569_0106
HIStex_reverse_num1,his__L_p,his__L,ECDH1ME8569_0229,ECDH1ME8569_0229
HPPPNt2rpp_reverse,3hpppn_c,3hpppn,ECDH1ME8569_0340,ECDH1ME8569_0340
HPPPNtex_reverse_num1,3hpppn_p,3hpppn,ECDH1ME8569_0880,ECDH1ME8569_0880
HPYRI_reverse,2h3oppan_c,2h3oppan,ECDH1ME8569_0492,ECDH1ME8569_0492
HOMtex_reverse_num1,hom__L_p,hom__L,ECDH1ME8569_0229,ECDH1ME8569_0229
HSDy_reverse_num1,aspsa_c,aspsa,ECDH1ME8569_3809,ECDH1ME8569_3809
ILEt2rpp_reverse,ile__L_c,ile__L,ECDH1ME8569_0386,ECDH1ME8569_0386
ILEtex_reverse_num1,ile__L_p,ile__L,ECDH1ME8569_0229,ECDH1ME8569_0229
IMPC_reverse,fprica_c,fprica,ECDH1ME8569_3866,ECDH1ME8569_3866
HXAtex_reverse_num1,hxa_p,hxa,ECDH1ME8569_2151,ECDH1ME8569_2151
INDOLEt2rpp_reverse,indole_c,indole,ECDH1ME8569_3052,ECDH1ME8569_3052
INDOLEtex_reverse_num1,indole_p,indole,ECDH1ME8569_0229,ECDH1ME8569_0229
INSTtex_reverse_num1,inost_p,inost,ECDH1ME8569_0229,ECDH1ME8569_0229
HYXNtex_reverse_num1,hxan_p,hxan,ECDH1ME8569_0229,ECDH1ME8569_0229
INSt2pp_copy2_reverse,ins_c,ins,ECDH1ME8569_2339,ECDH1ME8569_2339
INStex_reverse,ins_p,ins,ECDH1ME8569_0396,ECDH1ME8569_0396
IPDDI_reverse,dmpp_c,dmpp,ECDH1ME8569_2791,ECDH1ME8569_2791
ICDHyr_reverse,akg_c,akg,ECDH1ME8569_1071,ECDH1ME8569_1071
ICHORS_copy1_reverse,ichor_c,ichor,ECDH1ME8569_2202,ECDH1ME8569_2202
IPPMIa_reverse,2ippm_c,2ippm,ECDH1ME8569_0069 and ECDH1ME8569_0070,ECDH1ME8569_0070
IPPMIa_reverse,2ippm_c,2ippm,ECDH1ME8569_0069 and ECDH1ME8569_0070,ECDH1ME8569_0069
IPPMIb_reverse,3c3hmp_c,3c3hmp,ECDH1ME8569_0069 and ECDH1ME8569_0070,ECDH1ME8569_0070
IPPMIb_reverse,3c3hmp_c,3c3hmp,ECDH1ME8569_0069 and ECDH1ME8569_0070,ECDH1ME8569_0069
ISETACtex_reverse_num1,isetac_p,isetac,ECDH1ME8569_0229,ECDH1ME8569_0229
IDOND_reverse,idon__L_c,idon__L,ECDH1ME8569_4121,ECDH1ME8569_4121
IDONt2rpp_reverse,idon__L_c,idon__L,ECDH1ME8569_4119,ECDH1ME8569_4119
IDONtex_reverse_num1,idon__L_p,idon__L,ECDH1ME8569_0229,ECDH1ME8569_0229
KARA1_reverse,alac__S_c,alac__S,ECDH1ME8569_3655,ECDH1ME8569_3655
KARA2_reverse,23dhmp_c,23dhmp,ECDH1ME8569_3655,ECDH1ME8569_3655
